"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"PractitionerLM","PractitionerLM","","","",0,*,"","","","null {[]} {[]}
","Practitioner","Basic prescribing/dispensing/caretaking practitioner's data relevant for this use case","","","","","","","","","",,,,,"",,,,"Base",0,*,"","","n/a"
"PractitionerLM.identifier","PractitionerLM.identifier","","","",1,*,"","","","Element {[CanonicalType[https://profiles.ihe.net/Domain/LogicalDatatypes/StructureDefinition/InstanceIdentifier]]} {[]}
","Practitioner's identifier","Practitioner's identifier","","","","","","","","","",,,,,"",,,,"PractitionerLM.identifier",1,*,"",""
"PractitionerLM.name","PractitionerLM.name","","","",1,*,"","","","Element {[CanonicalType[https://profiles.ihe.net/Domain/LogicalDatatypes/StructureDefinition/EN]]} {[]}
","Practitioner's name, incl first name, last name, or any other relevant name parts","Practitioner's name, incl first name, last name, or any other relevant name parts","","","","","","","","","",,,,,"",,,,"PractitionerLM.name",1,*,"",""
"PractitionerLM.specialty","PractitionerLM.specialty","","","",0,*,"","","","Element {[CanonicalType[https://profiles.ihe.net/Domain/LogicalDatatypes/StructureDefinition/CD]]} {[]}
","Specialty of the prescribing practitioner","Specialty of the prescribing practitioner","","","","","","","","","",,,,,"",,,,"PractitionerLM.specialty",0,*,"",""
"PractitionerLM.organisation","PractitionerLM.organisation","","","",0,*,"","","","Element {[CanonicalType[https://profiles.ihe.net/Domain/LogicalDatatypes/StructureDefinition/ANY]]} {[]}
","Organisation or facility of the practitioner","Organisation or facility of the practitioner","","","","","","","","","",,,,,"",,,,"PractitionerLM.organisation",0,*,"",""
