"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"PractitionerBasic","PractitionerBasic","","","",0,*,"","","","null {[]} {[]}
","Practitioner","Basic prescribing/dispensing/caretaking practitioner's data relevant for this use case","","","","","","","","","",,,,,"",,,,"Base",0,*,"","","n/a"
"PractitionerBasic.identifier","PractitionerBasic.identifier","","","",1,*,"","","","Element {[CanonicalType[http://profiles.ihe.net/PHARM/MEOW/StructureDefinition/II]]} {[]}
","Practitioner's identifier","Practitioner's identifier","","","","","","","","","",,,,,"",,,,"PractitionerBasic.identifier",1,*,"",""
"PractitionerBasic.name","PractitionerBasic.name","","","",1,*,"","","","Element {[CanonicalType[http://profiles.ihe.net/PHARM/MEOW/StructureDefinition/EN]]} {[]}
","Practitioner's name, incl first name, last name, or any other relevant name parts","Practitioner's name, incl first name, last name, or any other relevant name parts","","","","","","","","","",,,,,"",,,,"PractitionerBasic.name",1,*,"",""
"PractitionerBasic.specialty","PractitionerBasic.specialty","","","",0,*,"","","","Element {[CanonicalType[http://profiles.ihe.net/PHARM/MEOW/StructureDefinition/CD]]} {[]}
","Specialty of the prescribing practitioner","Specialty of the prescribing practitioner","","","","","","","","","",,,,,"",,,,"PractitionerBasic.specialty",0,*,"",""
"PractitionerBasic.organisation","PractitionerBasic.organisation","","","",0,*,"","","","Element {[CanonicalType[http://profiles.ihe.net/PHARM/MEOW/StructureDefinition/ANY]]} {[]}
","Organisation or facility of the practitioner","Organisation or facility of the practitioner","","","","","","","","","",,,,,"",,,,"PractitionerBasic.organisation",0,*,"",""
